Experiment start date,Image date,Strain,Liquid Starter culture Medium,Experimental Medium,Nitrogen added to AGAR medium (uM of ammonium sulfate),Sodium sulfide added (ug of S/L,Days after innoculation,Total colonies (before wash),Total invasive colonies (after wash),% of colonies with invasive growth,Increase in % of colonies with IG with added sulfide,Total colony images taken,Total colony images with invasive growth,% of imaged colonies with invasive growth,Increase in % of imaged colonies with IG with added sulfide
yhl008c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yor1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
resort for prism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Experiment start date,Image date,Strain,Liquid Starter culture Medium,Experimental Medium,Nitrogen added to AGAR medium (uM of ammonium sulfate),Sodium sulfide added (ug of S/L,Days after innoculation,Total colonies (before wash),Total invasive colonies (after wash),% of colonies with invasive growth,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,796,1 x SLAD,2 x SLAD (BD agar),50,0,6,20,15,0.75,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,796,2 x SLAD,2 x SLAD (BD agar),50,0,6,40,14,0.35,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,796,2 x SLAD + 200 ug S/L,2 x SLAD (BD agar),50,0,6,33,23,0.7,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,796,1 x SLAD,2 x SLAD (BD agar),75,0,6,28,18,0.64,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,796,2 x SLAD,2 x SLAD (BD agar),75,0,6,39,3,0.08,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,796,2 x SLAD + 200 ug S/L,2 x SLAD (BD agar),75,0,6,26,2,0.08,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,796 alr2,1 x SLAD,2 x SLAD (BD agar),50,0,6,43,0,0,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,796 alr2,1 x SLAD,2 x SLAD (BD agar),75,0,6,52,6,0.12,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,796 ato3,1 x SLAD,2 x SLAD (BD agar),50,0,6,29,2,7.0000000000000007E-2,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,796 ato3,1 x SLAD,2 x SLAD (BD agar),75,0,6,34,3,0.09,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,796 dur3,1 x SLAD,2 x SLAD (BD agar),50,0,6,26,26,1,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,796 dur3,1 x SLAD,2 x SLAD (BD agar),75,0,6,44,44,1,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,796 fui1,1 x SLAD,2 x SLAD (BD agar),50,0,6,50,2,0.04,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,796 fui1,1 x SLAD,2 x SLAD (BD agar),75,0,6,43,30,0.7,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,796 mid1,1 x SLAD,2 x SLAD (BD agar),50,0,6,21,13,0.62,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,796 mid1,1 x SLAD,2 x SLAD (BD agar),75,0,6,33,33,1,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,796 msb2,1 x SLAD,2 x SLAD (BD agar),50,0,6,43,0,0,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,796 msb2,1 x SLAD,2 x SLAD (BD agar),75,0,6,39,0,0,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,796 tpo4,1 x SLAD,2 x SLAD (BD agar),50,0,6,52,52,1,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,796 tpo4,1 x SLAD,2 x SLAD (BD agar),75,0,6,37,37,1,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,796,1 x SLAD,2 x SLAD (BD agar),50,400,6,20,20,1,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,796,2 x SLAD,2 x SLAD (BD agar),50,400,6,43,43,1,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,796,2 x SLAD + 200 ug S/L,2 x SLAD (BD agar),50,400,6,25,25,1,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,796,1 x SLAD,2 x SLAD (BD agar),75,400,6,22,20,0.91,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,796,2 x SLAD,2 x SLAD (BD agar),75,400,6,45,21,0.47,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,796,2 x SLAD + 200 ug S/L,2 x SLAD (BD agar),75,400,6,25,18,0.72,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,796 alr2,1 x SLAD,2 x SLAD (BD agar),50,400,6,50,11,0.22,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,796 alr2,1 x SLAD,2 x SLAD (BD agar),75,400,6,52,0,0,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,796 ato3,1 x SLAD,2 x SLAD (BD agar),50,400,6,36,30,0.83,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,796 ato3,1 x SLAD,2 x SLAD (BD agar),75,400,6,37,2,0.05,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,796 dur3,1 x SLAD,2 x SLAD (BD agar),50,400,6,38,37,0.97,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,796 dur3,1 x SLAD,2 x SLAD (BD agar),75,400,6,36,36,1,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,796 fui1,1 x SLAD,2 x SLAD (BD agar),50,400,6,24,22,0.92,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,796 fui1,1 x SLAD,2 x SLAD (BD agar),75,400,6,45,30,0.67,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,796 mid1,1 x SLAD,2 x SLAD (BD agar),50,400,6,50,50,1,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,796 mid1,1 x SLAD,2 x SLAD (BD agar),75,400,6,33,33,1,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,796 msb2,1 x SLAD,2 x SLAD (BD agar),50,400,6,39,2,0.05,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,796 msb2,1 x SLAD,2 x SLAD (BD agar),75,400,6,34,0,0,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,796 tpo4,1 x SLAD,2 x SLAD (BD agar),50,400,6,53,53,1,NA,NA,NA,NA,NA
2019_11_29,2019_12_05,796 tpo4,1 x SLAD,2 x SLAD (BD agar),75,400,6,43,43,1,NA,NA,NA,NA,NA
