Experiment start date,Image date,Strain,Liquid Starter culture Medium,Experimental Medium,Nitrogen added to AGAR medium (uM of ammonium sulfate),Sodium sulfide added (ug of S/L,Days after innoculation,Total colonies (before wash),Total invasive colonies (after wash),% of colonies with invasive growth,Increase in % of colonies with IG with added sulfide,...13,...14
43805,2019-12-12T00:00:00Z,796 pma2,2 x SLAD,2 x SLAD (BD agar),50,0,6,42,42,1,NA,NA,NA
43805,2019-12-12T00:00:00Z,796 pma2,2 x SLAD,2 x SLAD (BD agar),75,0,6,42,42,1,NA,NA,NA
43805,2019-12-12T00:00:00Z,796 put4,2 x SLAD,2 x SLAD (BD agar),50,0,6,31,31,1,NA,NA,NA
43805,2019-12-12T00:00:00Z,796 put4,2 x SLAD,2 x SLAD (BD agar),75,0,6,36,36,1,NA,NA,NA
43805,2019-12-12T00:00:00Z,796 sac3,2 x SLAD,2 x SLAD (BD agar),50,0,6,37,0,0,NA,NA,NA
43805,2019-12-12T00:00:00Z,796 sac3,2 x SLAD,2 x SLAD (BD agar),75,0,6,37,0,0,NA,NA,NA
43805,2019-12-12T00:00:00Z,796 tmn3,2 x SLAD,2 x SLAD (BD agar),50,0,6,38,38,1,NA,NA,NA
43805,2019-12-12T00:00:00Z,796 tmn3,2 x SLAD,2 x SLAD (BD agar),75,0,6,27,27,1,NA,NA,NA
43805,2019-12-12T00:00:00Z,796 vht1,2 x SLAD,2 x SLAD (BD agar),50,0,6,26,0,0,NA,NA,NA
43805,2019-12-12T00:00:00Z,796 vht1,2 x SLAD,2 x SLAD (BD agar),75,0,6,24,5,0.21,NA,NA,NA
43805,2019-12-12T00:00:00Z,796 yhl008c J1,2 x SLAD,2 x SLAD (BD agar),50,0,6,63,33,0.52,NA,NA,NA
43805,2019-12-12T00:00:00Z,796 yhl008c J1,2 x SLAD,2 x SLAD (BD agar),75,0,6,54,30,0.56,NA,NA,NA
43805,2019-12-12T00:00:00Z,796 yhl008c J4,2 x SLAD,2 x SLAD (BD agar),75,0,6,39,28,0.72,NA,NA,NA
43805,2019-12-12T00:00:00Z,796 yhl008c J4,2 x SLAD,2 x SLAD (BD agar),75,0,6,42,38,0.9,NA,NA,NA
43805,2019-12-12T00:00:00Z,796,2 x SLAD,2 x SLAD (BD agar),50,400,6,31,31,1,NA,NA,NA
43805,2019-12-12T00:00:00Z,796,2 x SLAD,2 x SLAD (BD agar),75,400,6,56,56,1,NA,NA,NA
43805,2019-12-12T00:00:00Z,79 alr2,2 x SLAD,2 x SLAD (BD agar),50,400,6,42,42,1,NA,NA,NA
43805,2019-12-12T00:00:00Z,79 alr2,2 x SLAD,2 x SLAD (BD agar),75,400,6,43,43,1,NA,NA,NA
43805,2019-12-12T00:00:00Z,796 dur3,2 x SLAD,2 x SLAD (BD agar),50,400,6,27,27,1,NA,NA,NA
43805,2019-12-12T00:00:00Z,796 dur3,2 x SLAD,2 x SLAD (BD agar),75,400,6,27,27,1,NA,NA,NA
43805,2019-12-12T00:00:00Z,796 nrt1,2 x SLAD,2 x SLAD (BD agar),50,400,6,37,36,0.97,NA,NA,NA
43805,2019-12-12T00:00:00Z,796 nrt1,2 x SLAD,2 x SLAD (BD agar),75,400,6,53,53,1,NA,NA,NA
43805,2019-12-12T00:00:00Z,796 pma2,2 x SLAD,2 x SLAD (BD agar),50,400,6,50,50,1,NA,NA,NA
43805,2019-12-12T00:00:00Z,796 pma2,2 x SLAD,2 x SLAD (BD agar),75,400,6,40,40,1,NA,NA,NA
43805,2019-12-12T00:00:00Z,796 put4,2 x SLAD,2 x SLAD (BD agar),50,400,6,35,35,1,NA,NA,NA
43805,2019-12-12T00:00:00Z,796 put4,2 x SLAD,2 x SLAD (BD agar),75,400,6,35,35,1,NA,NA,NA
43805,2019-12-12T00:00:00Z,796 sac3,2 x SLAD,2 x SLAD (BD agar),50,400,6,49,0,0,NA,NA,NA
43805,2019-12-12T00:00:00Z,796 sac3,2 x SLAD,2 x SLAD (BD agar),75,400,6,44,0,0,NA,NA,NA
43805,2019-12-12T00:00:00Z,796 tmn3,2 x SLAD,2 x SLAD (BD agar),50,400,6,43,43,1,NA,NA,NA
43805,2019-12-12T00:00:00Z,796 tmn3,2 x SLAD,2 x SLAD (BD agar),75,400,6,33,33,1,NA,NA,NA
43805,2019-12-12T00:00:00Z,796 vht1,2 x SLAD,2 x SLAD (BD agar),50,400,6,25,0,0,NA,NA,NA
43805,2019-12-12T00:00:00Z,796 vht1,2 x SLAD,2 x SLAD (BD agar),75,400,6,31,0,0,NA,NA,NA
43805,2019-12-12T00:00:00Z,796 yhl008c J1,2 x SLAD,2 x SLAD (BD agar),50,400,6,37,16,0.43,NA,NA,NA
43805,2019-12-12T00:00:00Z,796 yhl008c J1,2 x SLAD,2 x SLAD (BD agar),75,400,6,44,18,0.41,NA,NA,NA
43805,2019-12-12T00:00:00Z,796 yhl008c J4,2 x SLAD,2 x SLAD (BD agar),75,400,6,38,38,1,NA,NA,NA
43805,2019-12-12T00:00:00Z,796 yhl008c J4,2 x SLAD,2 x SLAD (BD agar),75,400,6,23,23,1,NA,NA,NA
